# Russian	Uzbek (Latin)	English
Короба разобраны	Qutilarga joylash tugadi	Box packing complete
Подтверждено коробов 	Tasdiqlangan qutilar: 	Boxes confirmed:\s
 из 	 / 	 of\s
Завершить проверку и сформировать файл WB	Tekshirishni tugatish va WB faylini yaratish	Complete checks and generate WB file
Подтверждён	Tasdiqlangan	Confirmed
Закрыт	Yopiq	Closed
Открыт	Ochiq	Open
Повторить неподтверждённый запрос	Tasdiqlanmagan so‘rovni takrorlash	Retry unconfirmed request
Обновить	Yangilash	Refresh
Назад	Orqaga	Back
Сначала отсканируйте паллет. Короб без паллета можно сканировать сразу.	Avval palletni skanerlang. Palletsiz qutini darhol skanerlash mumkin.	Scan the pallet first. A box without a pallet can be scanned directly.
Короб не входит в список на этом паллете.	Bu quti ushbu pallet ro‘yxatida yo‘q.	This box is not listed on this pallet.
Этот ШК не требуется на текущем этапе.	Bu shtrix-kod joriy bosqichda kerak emas.	This barcode is not required at the current step.
Не удалось обновить: 	Yangilab bo‘lmadi: 	Could not refresh:\s
Не удалось сохранить операцию. Проверьте память ТСД.	Amalni saqlab bo‘lmadi. TSD xotirasini tekshiring.	Could not save the operation. Check the device storage.
Операция принята	Amal qabul qilindi	Operation accepted
Ответ не получен. Повторите тот же запрос.	Javob kelmadi. Xuddi shu so‘rovni takrorlang.	No response received. Retry the same request.
Ошибка ВМС 	WMS xatosi 	WMS error\s
Короба ФБО для WB	WB uchun FBO qutilari	FBO boxes for WB
Файл загружается. Откройте его из уведомления.	Fayl yuklanmoqda. Uni bildirishnomadan oching.	Downloading the file. Open it from the notification.
Не удалось скачать файл: 	Faylni yuklab bo‘lmadi: 	Could not download the file:\s
В этом помещении больше нет паллет для этой поставки	Bu xonada ushbu jo‘natma uchun boshqa pallet qolmadi	No more pallets for this shipment in this room
В этом помещении осталось паллет: 	Bu xonada qolgan palletlar: 	Pallets remaining in this room:\s
Не удалось получить результат. Повторите проверку.	Natijani olib bo‘lmadi. Tekshirishni takrorlang.	Could not get the result. Check again.
КИЗ не найден в системе.	KIZ tizimda topilmadi.	KIZ not found in the system.
Ответ сервера неполный. Повторите проверку.	Server javobi to‘liq emas. Tekshirishni takrorlang.	Incomplete server response. Check again.
КИЗ найден в нескольких записях. Проверьте привязки:\n\n	KIZ bir nechta yozuvda topildi. Bog‘lanishlarni tekshiring:\n\n	KIZ found in multiple records. Check the links:\n\n
Товар: 	Mahsulot: 	Product:\s
не указан	ko‘rsatilmagan	not specified
\nАртикул: 	\nArtikul: 	\nArticle:\s
\nРазмер: 	\nO‘lcham: 	\nSize:\s
\nЦвет: 	\nRang: 	\nColor:\s
\nКороб: 	\nQuti: 	\nBox:\s
без привязки к коробу	qutiga bog‘lanmagan	not linked to a box
\nПаллет: 	\nPallet: 	\nPallet:\s
не назначен	tayinlanmagan	not assigned
\nПомещение: 	\nXona: 	\nRoom:\s
не указано	ko‘rsatilmagan	not specified
\nФилиал: 	\nFilial: 	\nBranch:\s
\nКлиент: 	\nMijoz: 	\nClient:\s
\nСтатус: 	\nHolat: 	\nStatus:\s
Доступен	Mavjud	Available
В резерве	Zaxirada	Reserved
Упаковка — уже отобран	Qadoqlashda — allaqachon terilgan	Packing — already picked
Отгрузка	Jo‘natish	Shipping
Брак	Nuqsonli	Defective
Карантин	Karantin	Quarantine
Проверка КИЗ	KIZni tekshirish	Check KIZ
Отсканируйте Честный знак. Размещение по данным выбранного филиала.	Chestny Znak kodini skanerlang. Tanlangan filialdagi joylashuv ko‘rsatiladi.	Scan the Chestny Znak code. Locations are shown for the selected branch.
КИЗ Data Matrix	KIZ Data Matrix	KIZ Data Matrix
Проверить	Tekshirish	Check
Отсканируйте КИЗ.	KIZni skanerlang.	Scan the KIZ.
Проверяю КИЗ…	KIZ tekshirilmoqda…	Checking KIZ…
Не удалось проверить КИЗ. Повторите попытку.	KIZni tekshirib bo‘lmadi. Qayta urining.	Could not check the KIZ. Try again.
Нет ответа от ВМС. Проверьте соединение и повторите сканирование.	WMSdan javob yo‘q. Aloqani tekshiring va qayta skanerlang.	No response from WMS. Check the connection and scan again.
Android просит подтвердить установку. Нажмите «Обновить» один раз.	Android o‘rnatishni tasdiqlashni so‘rayapti. “Yangilash” tugmasini bir marta bosing.	Android requires installation confirmation. Tap “Update” once.
Обновление установлено.	Yangilanish o‘rnatildi.	Update installed.
неизвестная ошибка установки	noma’lum o‘rnatish xatosi	unknown installation error
Не удалось установить обновление: 	Yangilanishni o‘rnatib bo‘lmadi: 	Could not install the update:\s
Обновите приложение ТСД и войдите заново: старая общая сессия отключена.	TSD ilovasini yangilang va qayta kiring: eski umumiy seans o‘chirilgan.	Update the TSD app and sign in again: the old shared session is disabled.
Доступ к Bluetooth запрещён. Разрешите поиск устройств поблизости в настройках приложения.	Bluetooth ruxsati berilmadi. Ilova sozlamalarida yaqin qurilmalarni qidirishga ruxsat bering.	Bluetooth permission denied. Allow nearby devices in the app settings.
Доступ к камере запрещён. Разрешите камеру в настройках приложения.	Kameraga kirish taqiqlangan. Ilova sozlamalarida kameraga ruxsat bering.	Camera permission denied. Allow camera access in the app settings.
Дождитесь ответа или повторите неподтверждённый запрос.	Javobni kuting yoki tasdiqlanmagan so‘rovni takrorlang.	Wait for the response or retry the unconfirmed request.
Сначала завершите текущую единицу или подтвердите результат запроса.	Avval joriy donani tugating yoki so‘rov natijasini tasdiqlang.	Complete the current unit or confirm the request result first.
Сначала дождитесь ответа или повторите скан того же целевого короба, чтобы уточнить результат перемещения.	Javobni kuting yoki ko‘chirish natijasini aniqlash uchun xuddi shu manzil qutini qayta skanerlang.	Wait for the response or rescan the same destination box to check the transfer result.
Обязательную проверку нельзя закрыть. Сначала полностью пропикайте и актуализируйте короб.	Majburiy tekshiruvni yopib bo‘lmaydi. Avval qutini to‘liq skanerlang va yangilang.	You cannot close the mandatory check. Scan and recount the entire box first.
Сортировка и перемещение	Saralash va ko‘chirish	Sorting and transfers
Перемещения	Ko‘chirish	Transfers
Сборка паллетов	Palletlarni yig‘ish	Build pallets
Инвентаризация	Inventarizatsiya	Stocktaking
Приемка товара	Tovarni qabul qilish	Receive goods
Сборка заявки	Buyurtmani yig‘ish	Pick request
Сборка FBS	FBS buyurtmasini yig‘ish	FBS picking
Сборка FBO Ozon	Ozon FBO yig‘ish	Ozon FBO picking
Упаковка FBS	FBS qadoqlash	FBS packing
Телефон: камера включена	Telefon: kamera yoqilgan	Phone: camera enabled
Телефон	Telefon	Phone
Синхронизировать очередь	Navbatni sinxronlash	Sync queue
Обновить клиентов	Mijozlarni yangilash	Refresh clients
Настройки / вход	Sozlamalar / kirish	Settings / sign in
Проверить обновление	Yangilanishni tekshirish	Check for updates
Сбросить вход	Kirishni bekor qilish	Sign out
Отсканируйте короб, из которого берёте товар.	Tovar olinadigan qutini skanerlang.	Scan the box you are taking the goods from.
ИСПРАВИТЬ ОСТАТКИ И КИЗЫ (АДМИНИСТРАТОР)	QOLDIQ VA KIZLARNI TUZATISH (ADMINISTRATOR)	CORRECT STOCK AND KIZ (ADMINISTRATOR)
ИЗ КОРОБА В БОКС ХРАНЕНИЯ	QUTIDAN SAQLASH BOKSIGA	FROM BOX TO STORAGE BIN
В БОКС ПО ШК И КИЗ (БЕЗ ИСХОДНОГО КОРОБА)	SHK VA KIZ BO‘YICHA BOKSGA	TO BIN BY BARCODE AND KIZ (NO SOURCE BOX)
Шаг 1 из 3. Отсканируйте исходный короб.	1/3-qadam. Manba qutini skanerlang.	Step 1 of 3. Scan the source box.
Исходный короб	Manba quti	Source box
Открыть короб	Qutini ochish	Open box
ИЗ КОРОБА: 	MANBA QUTI: 	FROM BOX:\s
Клиент: 	Mijoz: 	Client:\s
Доступно: 	Mavjud: 	Available:\s
ШК принят: 	SHK qabul qilindi: 	Barcode accepted:\s
. Теперь отсканируйте КИЗ этой единицы.	. Endi shu donaning KIZini skanerlang.	. Now scan this unit’s KIZ.
Шаг 2 из 3. Сначала сканируйте ШК товара. Для маркированного товара ТСД сразу попросит КИЗ.	2/3-qadam. Avval tovar SHKini skanerlang. Belgilangan tovar uchun TSD darhol KIZni so‘raydi.	Step 2 of 3. Scan the product barcode first. For marked goods, the TSD will immediately request the KIZ.
ШК товара или привязанный КИЗ	Tovar SHKi yoki biriktirilgan KIZ	Product barcode or linked KIZ
Привязать КИЗ	KIZni biriktirish	Link KIZ
Добавить товар	Tovar qo‘shish	Add product
Закончить выбор — 	Tanlashni tugatish — 	Finish selection —\s
Шаг 3 из 3. Отсканируйте короб назначения для всей выбранной партии.	3/3-qadam. Belgilangan qutini skanerlang.	Step 3 of 3. Scan the destination box for the entire selected batch.
Отменить выбор ШК	SHK tanlovini bekor qilish	Cancel barcode selection
ШК отменён. Сканируйте товар заново.	SHK bekor qilindi. Tovarni qayta skanerlang.	Barcode cancelled. Scan the product again.
Шаг 3 из 3. Отсканируйте короб, куда положили все выбранные вещи.	3/3-qadam. Barcha tanlangan narsalar joylangan qutini skanerlang.	Step 3 of 3. Scan the box where you placed all selected goods.
К ПЕРЕМЕЩЕНИЮ: 	KO‘CHIRISH UCHUN: 	TO TRANSFER:\s
Короб назначения	Maqsad quti	Destination box
Переместить всю партию	Barcha partiyani ko‘chirish	Transfer entire batch
Добавить ещё товары	Yana tovar qo‘shish	Add more goods
Продолжайте сканировать товары.	Tovarlarni skanerlashni davom eting.	Continue scanning goods.
Отменить последний товар	Oxirgi tovarni bekor qilish	Remove last product
Сменить исходный короб	Manba qutini almashtirish	Change source box
Проверяю…	Tekshirilmoqda…	Checking…
В главное меню	Bosh menyuga	Main menu
Содержимое исходного короба	Manba quti tarkibi	Source box contents
Остальные позиции скрыты. Сканирование продолжает работать.	Qolgan pozitsiyalar yashirilgan. Skanerlash ishlashda davom etadi.	Other items are hidden. You can continue scanning.
Артикул: 	Artikul: 	Article:\s
цвет: 	rang: 	color:\s
размер: 	o‘lcham: 	size:\s
 · нужен КИЗ	 · KIZ kerak	 · KIZ required
Выбрано для перемещения	Ko‘chirish uchun tanlangan	Selected for transfer
КИЗ	KIZ	KIZ
ШК	ShK	Barcode
единица №	birlik №	unit No.
Ранее выбрано ещё: 	Oldin tanlangan yana: 	Previously selected:\s
Убран последний товар: 	Oxirgi tovar olib tashlandi: 	Last product removed:\s
Можно продолжать сканирование.	Skanerlashni davom ettirishingiz mumkin.	You can continue scanning.
Сначала отсканируйте код.	Avval kodni skanerlang.	Scan a code first.
Открываю исходный короб…	Manba quti ochilmoqda…	Opening source box…
Не удалось открыть исходный короб.	Manba qutini ochib bo‘lmadi.	Could not open the source box.
Короб открыт.	Quti ochildi.	Box opened.
Проверяю товар…	Tovar tekshirilmoqda…	Checking product…
Проверяю и привязываю КИЗ…	KIZ tekshirilmoqda va biriktirilmoqda…	Checking and linking KIZ…
Товар не найден в исходном коробе.	Tovar manba qutida topilmadi.	Product not found in the source box.
Сервер не вернул данные отсканированного товара.	Server skanerlangan tovar ma’lumotlarini qaytarmadi.	The server did not return the scanned product details.
ШК принят. Теперь отсканируйте КИЗ этой единицы.	SHK qabul qilindi. Endi shu birlikning KIZini skanerlang.	Barcode accepted. Now scan this unit’s KIZ.
Этот КИЗ уже выбран. Повтор не добавлен.	Bu KIZ allaqachon tanlangan. Takror qo‘shilmadi.	This KIZ is already selected. Duplicate not added.
В исходном коробе больше нет свободных единиц товара «	Manba qutida boshqa bo‘sh birlik qolmadi: «	No more available units of this product in the source box: “
Товар добавлен. Всего выбрано: 	Tovar qo‘shildi. Jami tanlandi: 	Product added. Total selected:\s
Сначала отсканируйте хотя бы один товар.	Avval kamida bitta tovarni skanerlang.	Scan at least one product first.
Перемещаю выбранную партию: 	Tanlangan partiya ko‘chirilmoqda: 	Transferring selected batch:\s
 ед.…	 dona…	 units…
Перемещение не выполнено.	Ko‘chirish bajarilmadi.	Transfer failed.
Пакетное перемещение выполнено.	Paketli ko‘chirish bajarildi.	Batch transferred.
 Исходный короб опустел и перенесён в архив.	 Manba quti bo‘shadi va arxivga o‘tkazildi.	 The source box is now empty and has been archived.
Язык интерфейса	Interfeys tili	Interface language
Русский	Русский	Русский
Сохранить язык	Tilni saqlash	Save language
Адрес WMS	WMS manzili	WMS address
Логин сотрудника	Xodim logini	Employee login
Пароль	Parol	Password
Войти на ТСД	TSD tizimiga kirish	Sign in to TSD
Скачать приложение ТСД	TSD ilovasini yuklab olish	Download TSD app
Сейчас работает	Hozir ishlayapti	Currently signed in
ТСД	TSD	TSD
Язык сохранён.	Til saqlandi.	Language saved.
Проверяю открытую паллету…	Ochiq pallet tekshirilmoqda…	Checking the open pallet…
Сначала выберите клиента, затем отсканируйте ШК пустой или уже существующей паллеты.	Avval mijozni tanlang, keyin bo‘sh yoki mavjud pallet shtrix-kodini skanerlang.	Select a client, then scan the barcode of an empty or existing pallet.
Клиент паллет-сорта	Pallet-sort mijozi	Sorting pallet client
Выберите клиента	Mijozni tanlang	Select a client
Сканируйте ШК паллеты	Pallet shtrix-kodini skanerlang	Scan pallet barcode
Открыть паллету	Palletni ochish	Open pallet
без зоны	zonasiz	no zone
Клиент	Mijoz	Client
Зона	Zona	Zone
Коробов на паллете	Palletdagi qutilar	Boxes on pallet
Сканируйте номер короба	Quti raqamini skanerlang	Scan box number
Добавить короб	Qutini qo‘shish	Add box
Следующая паллета	Keyingi pallet	Next pallet
Удалить паллет	Palletni o‘chirish	Delete pallet
Последние добавленные короба	Oxirgi qo‘shilgan qutilar	Recently added boxes
пока не найден в WMS	WMSda hozircha topilmadi	not found in WMS yet
Отсканируйте код.	Kodni skanerlang.	Scan a code.
ОТСКАНИРОВАН НОМЕР КОРОБА 	QUTI RAQAMI SKANERLANDI: 	BOX NUMBER SCANNED:\s
.\nСейчас нужен QR или ШК паллетсорта. Короба сканируются после открытия паллетсорта.	.\nHozir saralash palletining QR yoki shtrix-kodini skanerlang. Qutilar pallet ochilgandan keyin skanerlanadi.	.\nScan the sorting pallet’s QR code or barcode now. Scan boxes after opening the sorting pallet.
Выберите клиента паллет-сорта.	Pallet-sort mijozini tanlang.	Select the sorting pallet client.
Сохраняю…	Saqlanmoqda…	Saving…
ТРЕБУЕТСЯ ВОССТАНОВЛЕНИЕ КОРОБА\n	QUTINI TIKLASH KERAK\n	BOX RESTORATION REQUIRED\n
Пропикайте каждый товар обычным ШК. КИЗ и номера коробов не принимаются.	Har bir mahsulotni oddiy shtrix-kod bilan skanerlang. KIZ va quti raqamlari qabul qilinmaydi.	Scan each product’s regular barcode. KIZ codes and box numbers are not accepted.
Отсканировано единиц	Skanerlangan birliklar	Units scanned
позиций	pozitsiyalar	items
Количество	Miqdor	Quantity
Учесть товар	Tovarni hisobga olish	Count product
Завершить и восстановить короб	Yakunlash va qutini tiklash	Finish and restore box
Отменить пересчёт	Qayta sanashni bekor qilish	Cancel recount
Пропикайте ШК товара.	Tovar shtrix-kodini skanerlang.	Scan the product barcode.
Можно сканировать только ШК товара. 	Faqat mahsulot shtrix-kodini skanerlash mumkin. 	Only product barcodes can be scanned.\s
Товар учтён.	Tovar hisobga olindi.	Product counted.
Сначала пропикайте содержимое короба.	Avval quti tarkibini skanerlang.	Scan the box contents first.
Восстанавливаю короб и остатки…	Quti va qoldiqlar tiklanmoqda…	Restoring box and stock…
Пересчёт отменён. Сканируйте следующий короб.	Qayta sanash bekor qilindi. Keyingi qutini skanerlang.	Recount cancelled. Scan the next box.
Завершаю паллету…	Pallet yakunlanmoqda…	Completing pallet…
Удалить паллет?	Pallet o‘chirilsinmi?	Delete pallet?
Паллета 	Pallet 	Pallet\s
 и её ошибочная привязка коробов будут удалены. После этого паллету можно открыть и пропикать заново.	 va unga noto‘g‘ri bog‘langan qutilar aloqasi o‘chiriladi. Keyin palletni qayta ochib, skanerlashingiz mumkin.	 and its incorrect box links will be deleted. You can then reopen and rescan the pallet.
Нет	Yo‘q	No
Удалить	O‘chirish	Delete
Удаляю паллету…	Pallet o‘chirilmoqda…	Deleting pallet…
Выберите режим. Актуализация расхождений выполняется менеджером в веб-версии WMS.	Rejimni tanlang. Tafovutlarni tuzatish menejer tomonidan WMS veb-versiyasida bajariladi.	Select a mode. A manager reconciles discrepancies in the WMS web app.
1. Полная инвентаризация	1. To‘liq inventarizatsiya	1. Full stocktaking
2. Частичная инвентаризация	2. Qisman inventarizatsiya	2. Partial stocktaking
3. Проверка содержимого короба	3. Quti tarkibini tekshirish	3. Check box contents
4. Сборка по SKU	4. SKU bo‘yicha yig‘ish	4. Pick by SKU
Архив проверок коробок	Qutilar tekshiruvi arxivi	Box check history
Загружаю заявки…	Arizalar yuklanmoqda…	Loading requests…
Активных заявок нет.	Faol arizalar yo‘q.	No active requests.
Выберите оранжевую заявку.	To‘q sariq arizani tanlang.	Select the orange request.
Сборка по SKU	SKU bo‘yicha yig‘ish	Pick by SKU
Собрано	Yig‘ildi	Picked
Принято	Qabul qilindi	Received
Повторная приёмка: короб назначения → ШК товара → тот же КИЗ.	Qayta qabul: maqsad quti → tovar SHK → o‘sha KIZ.	Receive again: destination box → product barcode → the same KIZ.
Сборка: исходный короб → ШК товара → КИЗ.	Yig‘ish: manba quti → tovar SHK → KIZ.	Picking: source box → product barcode → KIZ.
Осталось	Qoldi	Remaining
К списку заявок	Arizalar ro‘yxatiga	Request list
Сортировка по SKU · №	SKU bo‘yicha saralash · №	Sort by SKU · No.
Внутри склада, без резерва и отгрузки. Размещено: 	Ombor ichida, zaxiralash va jo‘natishsiz. Joylandi: 	Within the warehouse, without reservation or shipping. Placed:\s
Сортировка завершена. Товары находятся в целевых коробах.	Saralash tugadi. Mahsulotlar manzil qutilarida.	Sorting complete. Goods are in the destination boxes.
Разместить отобранное из 	Terilgan mahsulotni joylash. Manba: 	Place goods picked from\s
Подтвердите ШК и КИЗ ранее отобранной единицы, затем целевой короб. Повторного списания не будет.	Oldin terilgan donaning shtrix-kodi va KIZini, keyin manzil qutini tasdiqlang. Qoldiq qayta kamaytirilmaydi.	Confirm the barcode and KIZ of the previously picked unit, then the destination box. Stock will not be deducted again.
По маршруту осталось: 	Yo‘nalishda qoldi: 	Remaining on route:\s
Показать весь маршрут	To‘liq yo‘nalishni ko‘rsatish	Show full route
Исходный короб: 	Manba quti: 	Source box:\s
Откройте короб и проверьте всё содержимое. После актуализации программа вернёт вас к отбору нужного SKU.	Qutini oching va barcha ichidagilarni tekshiring. Qoldiq yangilangach, kerakli SKUni terishga qaytasiz.	Open the box and check all its contents. After reconciliation, you will return to picking the required SKU.
Актуализировать содержимое короба	Quti tarkibini qayta sanash	Recount box contents
Паллет-сорт или исходный короб	Saralash palleti yoki manba quti	Sorting pallet or source box
ШК нужного товара	Kerakli mahsulot shtrix-kodi	Required product barcode
КИЗ этой единицы	Shu donaning KIZi	This unit’s KIZ
Целевой короб для хранения	Saqlash uchun manzil quti	Destination storage box
ШК и КИЗ проверены. Положите эту единицу в целевой короб и отсканируйте его.	Shtrix-kod va KIZ tekshirildi. Bu donani manzil qutiga joylang va qutini skanerlang.	Barcode and KIZ checked. Place this unit in the destination box and scan the box.
Уточните результат: повторите размещение в 	Natijani aniqlang: shu qutiga joylashni takrorlang: 	Check the result: retry placing into\s
. Не перекладывайте товар в другой короб.	. Mahsulotni boshqa qutiga ko‘chirmang.	. Do not move the product to another box.
Выбрать другой исходный короб	Boshqa manba qutini tanlash	Select another source box
Остатки меняются только после успешного скана целевого короба.	Qoldiq faqat manzil quti muvaffaqiyatli skanerlangandan keyin o‘zgaradi.	Stock changes only after a successful destination box scan.
Сменить ШК / КИЗ	Shtrix-kod / KIZni almashtirish	Change barcode / KIZ
Отсканируйте ШК товара заново.	Mahsulot shtrix-kodini qayta skanerlang.	Scan the product barcode again.
Сначала уточните результат размещения в целевой короб.	Avval manzil qutiga joylash natijasini aniqlang.	Check the destination placement result first.
Сверьте все товары исходного короба, затем продолжите сортировку.	Manba qutidagi barcha mahsulotlarni tekshiring, keyin saralashni davom ettiring.	Check all goods in the source box, then continue sorting.
Короб проверен. Отсканируйте ШК нужного SKU, затем КИЗ.	Quti tekshirildi. Kerakli SKU shtrix-kodini, keyin KIZini skanerlang.	Box checked. Scan the required SKU barcode, then its KIZ.
В этом коробе нет свободного SKU для сортировки. Маршрут обновлён.	Bu qutida saralash uchun bo‘sh SKU yo‘q. Yo‘nalish yangilandi.	No available SKU to sort in this box. Route refreshed.
Выберите нужный короб на этом паллет-сорте.	Shu saralash palletidagi kerakli qutini tanlang.	Select the required box on this sorting pallet.
Этот паллет-сорт или короб не входит в оставшийся маршрут.	Bu saralash palleti yoki quti qolgan yo‘nalishga kirmaydi.	This sorting pallet or box is not on the remaining route.
Теперь КИЗ этой единицы.	Endi shu donaning KIZini skanerlang.	Now scan this unit’s KIZ.
Единица подтверждена. Отсканируйте целевой короб.	Dona tasdiqlandi. Manzil qutini skanerlang.	Unit confirmed. Scan the destination box.
Отсканируйте целевой короб.	Manzil qutini skanerlang.	Scan the destination box.
Одна единица размещена в 	Bitta dona joylandi: 	One unit placed into\s
. Общий остаток склада не изменён.	. Ombordagi umumiy qoldiq o‘zgarmadi.	. Total warehouse stock is unchanged.
Открываю сортировку…	Saralash ochilmoqda…	Opening sorting…
Сортировка не резервирует остатки. Выберите исходный короб.	Saralash qoldiqni zaxiralamaydi. Manba qutini tanlang.	Sorting does not reserve stock. Select a source box.
Отсканируйте значение.	Qiymatni skanerlang.	Scan a value.
Теперь сканируйте ШК товара.	Endi tovar SHK ni skanerlang.	Now scan the product barcode.
Теперь сканируйте КИЗ.	Endi KIZ ni skanerlang.	Now scan the KIZ.
Сохраняю товар…	Tovar saqlanmoqda…	Saving product…
Товар не сохранён.	Tovar saqlanmadi.	Product not saved.
Заявка полностью собрана и принята.	Ariza to‘liq yig‘ildi va qabul qilindi.	Request fully picked and received.
Товар принят. Продолжайте приёмку.	Tovar qabul qilindi. Davom eting.	Product received. Continue receiving.
Товар из короба списан. Продолжайте сборку.	Tovar qutidan chiqarildi. Davom eting.	Product deducted from the box. Continue picking.
Обязательная проверка короба 	Qutini majburiy tekshirish: 	Mandatory box check:\s
. Сборка FBS продолжится только после сверки и актуализации.	. FBS yig‘ish faqat tekshirish va qoldiqni yangilashdan keyin davom etadi.	. FBS picking will resume only after reconciliation and stock update.
Обязательная проверка после сборки FBS · 	FBS yig‘ishdan keyingi majburiy tekshiruv · 	Mandatory check after FBS picking ·\s
[FBS_MANDATORY_BOX_CHECK] Короб выбран в FBS, но нужный товар не был подтверждён.	[FBS_MANDATORY_BOX_CHECK] FBSda quti tanlangan, ammo kerakli mahsulot tasdiqlanmagan.	[FBS_MANDATORY_BOX_CHECK] Box selected in FBS, but the required product was not confirmed.
Проверка КИЗ FBS · 	FBS KIZ tekshiruvi · 	FBS KIZ check ·\s
; расхождение при отборе. Сканировать только содержимое короба. Уже отобранный товар сюда не возвращать.	; terishda tafovut. Faqat quti ichidagilarni skanerlang. Terilgan mahsulotni bu yerga qaytarmang.	; discrepancy during picking. Scan only the box contents. Do not return already picked goods here.
Сканируйте ШК каждой единицы, затем КИЗ маркированного товара.	Har bir donaning shtrix-kodini, so‘ng markirovkali mahsulot KIZini skanerlang.	Scan each unit’s barcode, then the KIZ for marked goods.
Отсканируйте каждую единицу только по ШК товара. КИЗ в этой проверке не требуется.	Har bir donaning faqat mahsulot shtrix-kodini skanerlang. Bu tekshiruvda KIZ kerak emas.	Scan each unit’s product barcode only. KIZ is not required for this check.
Обязательная проверка короба	Qutini majburiy tekshirish	Mandatory box check
Сборка FBS приостановлена. Полностью пропикайте короб 	FBS yig‘ish to‘xtatildi. Qutini to‘liq skanerlang: 	FBS picking paused. Scan the entire box\s
 по ШК и КИЗ маркированных товаров. После сверки подтвердите актуализацию.	 mahsulot shtrix-kodlari va markirovkali mahsulot KIZlari bo‘yicha. Tekshirgach, qoldiq yangilanishini tasdiqlang.	 using barcodes and KIZ for marked goods. After checking, confirm the stock update.
 только по ШК товара. После сверки подтвердите актуализацию.	 faqat mahsulot shtrix-kodlari bo‘yicha. Tekshirgach, qoldiq yangilanishini tasdiqlang.	 using product barcodes only. After checking, confirm the stock update.
Понятно	Tushunarli	Understood
Загружаю активные инвентаризации…	Faol inventarizatsiyalar yuklanmoqda…	Loading active stocktakes…
Загружаю архив проверок коробок…	Qutilar tekshiruvi arxivi yuklanmoqda…	Loading box check history…
Завершённых проверок коробов пока нет.	Tugallangan quti tekshiruvlari hozircha yo‘q.	No completed box checks yet.
Завершённые проверки	Tugallangan tekshiruvlar	Completed checks
Проверено коробов	Tekshirilgan qutilar	Boxes checked
Завершено: 	Yakunlangan: 	Completed:\s
Сотрудник: 	Xodim: 	Employee:\s
Обновить архив	Arxivni yangilash	Refresh history
К очереди проверки коробок	Qutilar tekshiruvi navbatiga	Box check queue
После запуска все движения товара будут заблокированы до завершения инвентаризации в вебе.	Ishga tushirilgandan so‘ng vebda inventarizatsiya yakunlangunga qadar barcha tovar harakatlari bloklanadi.	Starting will block all stock movements until stocktaking is completed in the web app.
Начать полную инвентаризацию	To‘liq inventarizatsiyani boshlash	Start full stocktaking
Начать частичную инвентаризацию	Qisman inventarizatsiyani boshlash	Start partial stocktaking
Начать проверку коробов	Qutilarni tekshirishni boshlash	Start box checks
Предыдущие проверки	Oldingi tekshiruvlar	Previous checks
Сначала войдите на ТСД.	Avval TSD tizimiga kiring.	Sign in to TSD first.
Выберите клиента.	Mijozni tanlang.	Select a client.
Запускаю инвентаризацию…	Inventarizatsiya boshlanmoqda…	Starting stocktaking…
